gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.1HG00000660	transcript71	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000720	transcript74	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000740	transcript76	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000750	transcript77	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000780	transcript78	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000800	transcript79	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000850	transcript83	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000890	transcript87	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000900	transcript90	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000940	transcript93	76.06	95.81	124.29	39.78	42.27	48.03
HORVU.RGT_PLANET.PROJ.1HG00000960	transcript96	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00000990	transcript98	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001040	transcript99	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001050	transcript100	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001070	transcript101	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001100	transcript103	0.03	0.00	0.06	0.01	0.01	0.00
HORVU.RGT_PLANET.PROJ.1HG00001110	transcript104	0.00	0.04	0.00	0.02	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001130	transcript105,transcript106	0.21	0.02	0.08	0.03	0.02	0.05
HORVU.RGT_PLANET.PROJ.1HG00001180	transcript109	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001260	transcript117	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001280	transcript118	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001360	transcript120	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001390	transcript123	0.07	0.98	0.00	1.41	0.18	0.68
HORVU.RGT_PLANET.PROJ.1HG00001400	transcript124	0.04	0.00	0.00	0.58	0.36	0.36
HORVU.RGT_PLANET.PROJ.1HG00001410	transcript125	0.00	0.00	0.00	0.53	0.50	0.75
HORVU.RGT_PLANET.PROJ.1HG00001420	transcript126	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001430	transcript127	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001440	transcript128	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001450	transcript129	0.07	0.16	0.04	0.00	0.00	0.06
HORVU.RGT_PLANET.PROJ.1HG00001460	transcript130	0.07	0.16	0.04	0.00	0.00	0.06
HORVU.RGT_PLANET.PROJ.1HG00001470	transcript131	0.16	0.00	0.00	0.00	0.00	0.38
HORVU.RGT_PLANET.PROJ.1HG00001480	transcript132	0.00	0.24	0.00	0.36	0.25	0.19
HORVU.RGT_PLANET.PROJ.1HG00001490	transcript133	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001500	transcript134	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001510	transcript135	0.00	0.22	0.00	0.25	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001520	transcript136	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001530	transcript137	0.00	0.10	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001540	transcript140	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001560	transcript143	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001580	transcript145	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001610	transcript151	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001620	transcript152	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001640	transcript158	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001700	transcript165	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001730	transcript167	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001760	transcript173	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001770	transcript174	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001790	transcript176	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001800	transcript179	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001820	transcript180	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001830	transcript181	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001840	transcript183	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001850	transcript184	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001860	transcript185	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001870	transcript186	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001880	transcript187	1.15	0.69	0.58	0.68	0.78	0.99
HORVU.RGT_PLANET.PROJ.1HG00001890	transcript188	0.98	1.46	1.34	0.47	0.34	0.68
HORVU.RGT_PLANET.PROJ.1HG00001900	transcript189	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001910	transcript190	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001920	transcript192	0.00	0.00	0.00	0.07	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001930	transcript194	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001950	transcript195	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001960	transcript196	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001970	transcript197	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001990	transcript198	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002000	transcript199	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002030	transcript205	0.08	0.18	0.47	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002040	transcript206	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002050	transcript208	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002060	transcript210	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002070	transcript211	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002100	transcript213	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002110	transcript214	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002120	transcript215	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002130	transcript216	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002140	transcript217	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002200	transcript219	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002240	transcript221	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002290	transcript223	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002310	transcript224	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002320	transcript225	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002360	transcript230	0.00	0.00	0.00	0.00	0.22	0.04
HORVU.RGT_PLANET.PROJ.1HG00002370	transcript231	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002390	transcript232	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002400	transcript233	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002430	transcript234	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002440	transcript235	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002470	transcript238	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002500	transcript239	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002530	transcript241	0.06	0.00	0.00	0.00	0.00	0.06
HORVU.RGT_PLANET.PROJ.1HG00002540	transcript242	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002550	transcript243	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002560	transcript245	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002590	transcript246	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002600	transcript247	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002620	transcript248	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002630	transcript249	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002680	transcript253	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002700	transcript255	0.00	0.02	0.04	0.00	0.02	0.04
HORVU.RGT_PLANET.PROJ.1HG00002770	transcript262	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002790	transcript263	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002800	transcript264	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002810	transcript265	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002840	transcript268	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002850	transcript269	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002860	transcript270	12.08	14.85	13.79	6.96	4.96	4.36
HORVU.RGT_PLANET.PROJ.1HG00002890	transcript272	0.03	0.09	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002930	transcript275	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002970	transcript278	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002980	transcript279	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003050	transcript284	0.00	0.00	0.00	0.00	0.25	1.23
HORVU.RGT_PLANET.PROJ.1HG00003070	transcript285	0.00	0.00	0.00	0.00	0.08	0.04
HORVU.RGT_PLANET.PROJ.1HG00003150	transcript294	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003160	transcript295	0.02	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003180	transcript298	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003190	transcript299	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003200	transcript300	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003210	transcript301	0.00	0.00	0.00	0.19	1.20	0.39
HORVU.RGT_PLANET.PROJ.1HG00003220	transcript302	0.20	0.40	0.05	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003240	transcript303	0.00	0.00	0.00	0.00	0.04	0.00
HORVU.RGT_PLANET.PROJ.1HG00003270	transcript305	0.00	0.00	0.00	0.00	0.03	0.00
HORVU.RGT_PLANET.PROJ.1HG00003290	transcript306	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003300	transcript307	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003340	transcript311	0.36	0.09	0.24	0.23	0.04	0.15
HORVU.RGT_PLANET.PROJ.1HG00003420	transcript317	0.26	0.19	0.41	0.04	0.06	0.02
HORVU.RGT_PLANET.PROJ.1HG00003460	transcript319	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003470	transcript320	0.40	0.71	0.69	0.78	0.51	0.60
HORVU.RGT_PLANET.PROJ.1HG00003490	transcript321	1.18	0.29	0.16	0.06	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003500	transcript322	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003520	transcript323	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003540	transcript325	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003590	transcript330	0.02	0.00	0.00	0.00	0.04	0.00
HORVU.RGT_PLANET.PROJ.1HG00003620	transcript332	0.16	0.00	0.04	2.62	3.10	3.07
HORVU.RGT_PLANET.PROJ.1HG00003630	transcript333	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003640	transcript334	0.00	0.00	0.00	0.00	0.00	0.01
HORVU.RGT_PLANET.PROJ.1HG00003650	transcript335	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003690	transcript337	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003700	transcript338	1.67	0.48	0.76	0.62	0.83	0.61
HORVU.RGT_PLANET.PROJ.1HG00003750	transcript342	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003760	transcript343	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003780	transcript348	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003790	transcript349	0.00	0.00	0.00	0.19	0.10	0.11
HORVU.RGT_PLANET.PROJ.1HG00003800	transcript350	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003810	transcript351	0.00	0.00	0.00	0.19	0.10	0.11
HORVU.RGT_PLANET.PROJ.1HG00003820	transcript352	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003830	transcript353	0.09	0.00	0.00	0.10	0.00	0.05
HORVU.RGT_PLANET.PROJ.1HG00003840	transcript354	0.57	0.39	0.51	0.27	0.36	0.33
HORVU.RGT_PLANET.PROJ.1HG00003850	transcript355	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003860	transcript357	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003930	transcript359	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003940	transcript360	0.00	0.00	0.00	0.31	0.11	0.38
HORVU.RGT_PLANET.PROJ.1HG00003960	transcript361	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003970	transcript362	0.00	0.00	0.00	0.07	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003980	transcript363	0.00	0.00	0.00	0.31	0.11	0.38
HORVU.RGT_PLANET.PROJ.1HG00004000	transcript364	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004010	transcript365	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004030	transcript368	0.07	0.00	0.01	0.04	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004050	transcript370	0.06	0.07	0.00	0.30	0.38	0.12
HORVU.RGT_PLANET.PROJ.1HG00004060	transcript371	0.00	0.00	0.00	0.00	0.05	0.00
HORVU.RGT_PLANET.PROJ.1HG00004080	transcript373	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004100	transcript374	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004110	transcript375	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004120	transcript377	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004130	transcript378	0.00	0.00	0.00	0.34	1.05	0.46
HORVU.RGT_PLANET.PROJ.1HG00004190	transcript383	0.00	0.00	0.00	0.00	0.00	0.44
HORVU.RGT_PLANET.PROJ.1HG00004220	transcript388	0.15	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004230	transcript389	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004260	transcript393	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004280	transcript394	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004290	transcript395	0.00	0.09	0.05	0.02	0.03	0.00
HORVU.RGT_PLANET.PROJ.1HG00004310	transcript396	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004360	transcript399	0.09	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004420	transcript402	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004450	transcript403	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004480	transcript406	0.14	0.05	0.00	0.00	0.04	0.04
HORVU.RGT_PLANET.PROJ.1HG00004490	transcript407	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004500	transcript408	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004510	transcript409	0.94	0.29	0.69	0.85	0.93	1.07
HORVU.RGT_PLANET.PROJ.1HG00004530	transcript411	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004540	transcript412	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004560	transcript416	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004580	transcript418	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004590	transcript419	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004610	transcript422	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004620	transcript423	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004660	transcript426	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004670	transcript428	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004690	transcript429	0.00	0.00	0.00	0.00	0.00	1.29
HORVU.RGT_PLANET.PROJ.1HG00004700	transcript430	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004720	transcript431	0.12	0.05	0.20	0.26	0.23	0.25
HORVU.RGT_PLANET.PROJ.1HG00004740	transcript434	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004750	transcript435	0.00	0.00	0.00	0.04	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004760	transcript436	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004770	transcript437	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004790	transcript438	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004800	transcript439	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004810	transcript440	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004830	transcript441	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004840	transcript443	0.00	0.02	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004870	transcript445	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004880	transcript446	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004890	transcript447	0.08	0.00	0.00	0.00	0.03	0.00
HORVU.RGT_PLANET.PROJ.1HG00004910	transcript448	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004920	transcript449	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004930	transcript450	2.40	1.42	2.63	1.45	1.19	1.16
HORVU.RGT_PLANET.PROJ.1HG00004940	transcript451	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004960	transcript454	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004970	transcript455	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004980	transcript456	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004990	transcript457	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005070	transcript464	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005100	transcript467	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005110	transcript468	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005120	transcript470	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005130	transcript471	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005140	transcript472	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005150	transcript473	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005260	transcript482	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005270	transcript483	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005280	transcript484	0.52	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005300	transcript485	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005380	transcript491	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005400	transcript494	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005420	transcript497	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005440	transcript498	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005470	transcript501	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005490	transcript502	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005500	transcript503	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005510	transcript505	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005530	transcript506	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005540	transcript507	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005550	transcript509	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005560	transcript510	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005570	transcript511	0.00	0.00	0.00	0.00	0.00	0.00
