transcript_id	gene_id	Control_1A	Control_2A	Control_3A	NB29-A_1	NB29-A_2	NB29-A_3
transcript96	HORVU.RGT_PLANET.PROJ.1HG00000980	7139.00	3291.00	2853.00	1767.00	1579.00	1427.00
transcript97	HORVU.RGT_PLANET.PROJ.1HG00000990	0.00	0.00	0.00	0.00	0.00	0.00
transcript98	HORVU.RGT_PLANET.PROJ.1HG00001040	0.00	0.00	0.00	0.00	0.00	0.00
transcript99	HORVU.RGT_PLANET.PROJ.1HG00001050	0.00	0.00	0.00	0.00	0.00	0.00
transcript100	HORVU.RGT_PLANET.PROJ.1HG00001070	0.00	0.00	0.00	0.00	0.00	0.00
transcript102	HORVU.RGT_PLANET.PROJ.1HG00001100	2.00	0.00	4.00	1.00	1.00	0.00
transcript103	HORVU.RGT_PLANET.PROJ.1HG00001110	0.00	2.00	0.00	1.00	0.00	0.00
transcript104	HORVU.RGT_PLANET.PROJ.1HG00001130	0.00	0.00	0.00	0.00	1.00	0.90
transcript105	HORVU.RGT_PLANET.PROJ.1HG00001130	13.00	1.00	5.00	2.00	0.00	2.10
transcript106	HORVU.RGT_PLANET.PROJ.1HG00001140	6.16	8.00	0.00	0.00	0.16	0.00
transcript107	HORVU.RGT_PLANET.PROJ.1HG00001140	94.84	0.00	11.00	1485.00	674.84	1636.00
transcript108	HORVU.RGT_PLANET.PROJ.1HG00001180	0.00	0.00	0.00	0.00	0.00	0.00
transcript109	HORVU.RGT_PLANET.PROJ.1HG00001190	425.09	380.30	600.85	409.30	426.65	470.04
transcript110	HORVU.RGT_PLANET.PROJ.1HG00001190	46.91	44.70	53.15	40.70	46.35	37.96
transcript111	HORVU.RGT_PLANET.PROJ.1HG00001210	356.00	249.00	415.00	332.00	246.00	300.00
transcript112	HORVU.RGT_PLANET.PROJ.1HG00001220	261.00	98.00	204.00	359.00	316.00	324.00
transcript113	HORVU.RGT_PLANET.PROJ.1HG00001230	1137.00	1063.00	1317.00	841.00	858.00	970.00
transcript114	HORVU.RGT_PLANET.PROJ.1HG00001230	0.00	0.00	0.00	0.00	0.00	0.00
transcript115	HORVU.RGT_PLANET.PROJ.1HG00001250	1389.00	896.00	1415.00	3513.00	3923.00	4297.00
transcript116	HORVU.RGT_PLANET.PROJ.1HG00001260	0.00	0.00	0.00	0.00	0.00	0.00
transcript117	HORVU.RGT_PLANET.PROJ.1HG00001280	0.00	0.00	0.00	0.00	0.00	0.00
transcript119	HORVU.RGT_PLANET.PROJ.1HG00001360	0.00	0.00	0.00	0.00	0.00	0.00
transcript120	HORVU.RGT_PLANET.PROJ.1HG00001380	1798.00	1336.00	1042.00	128.00	163.00	67.00
transcript122	HORVU.RGT_PLANET.PROJ.1HG00001390	1.00	11.52	0.00	19.89	2.36	9.39
transcript123	HORVU.RGT_PLANET.PROJ.1HG00001400	1.00	0.00	0.00	15.00	9.00	9.00
transcript124	HORVU.RGT_PLANET.PROJ.1HG00001410	0.00	0.00	0.00	11.00	10.00	15.22
transcript125	HORVU.RGT_PLANET.PROJ.1HG00001420	0.00	0.00	0.00	0.00	0.00	0.00
transcript126	HORVU.RGT_PLANET.PROJ.1HG00001430	0.00	0.00	0.00	0.00	0.00	0.00
transcript127	HORVU.RGT_PLANET.PROJ.1HG00001440	0.00	0.00	0.00	0.00	0.00	0.00
transcript128	HORVU.RGT_PLANET.PROJ.1HG00001450	1.00	1.91	0.50	0.00	0.00	0.84
transcript129	HORVU.RGT_PLANET.PROJ.1HG00001460	1.00	1.91	0.50	0.00	0.00	0.84
transcript130	HORVU.RGT_PLANET.PROJ.1HG00001470	3.00	0.00	0.00	0.00	0.00	7.78
transcript131	HORVU.RGT_PLANET.PROJ.1HG00001480	0.00	3.02	0.00	5.50	3.50	2.89
transcript132	HORVU.RGT_PLANET.PROJ.1HG00001490	0.00	0.00	0.00	0.00	0.00	0.00
transcript133	HORVU.RGT_PLANET.PROJ.1HG00001500	0.00	0.08	0.00	0.08	0.14	0.05
transcript134	HORVU.RGT_PLANET.PROJ.1HG00001510	0.00	2.55	0.00	3.53	0.00	0.00
transcript135	HORVU.RGT_PLANET.PROJ.1HG00001520	0.00	0.00	0.00	0.00	0.00	0.00
transcript136	HORVU.RGT_PLANET.PROJ.1HG00001530	0.00	1.00	0.00	0.00	0.00	0.00
transcript139	HORVU.RGT_PLANET.PROJ.1HG00001540	0.00	0.00	0.00	0.00	0.00	0.00
transcript140	HORVU.RGT_PLANET.PROJ.1HG00001550	312.81	246.96	316.02	314.53	306.38	352.90
transcript141	HORVU.RGT_PLANET.PROJ.1HG00001550	37.19	41.04	24.98	17.47	25.62	36.10
transcript142	HORVU.RGT_PLANET.PROJ.1HG00001560	0.00	0.00	0.00	0.00	0.00	0.00
transcript144	HORVU.RGT_PLANET.PROJ.1HG00001580	0.00	0.00	0.00	0.00	0.00	0.00
transcript150	HORVU.RGT_PLANET.PROJ.1HG00001610	0.00	0.00	0.00	0.00	0.00	0.00
transcript151	HORVU.RGT_PLANET.PROJ.1HG00001620	0.00	0.00	0.00	0.00	0.00	0.00
transcript157	HORVU.RGT_PLANET.PROJ.1HG00001640	0.00	0.00	0.00	0.00	0.00	0.00
transcript164	HORVU.RGT_PLANET.PROJ.1HG00001700	0.00	0.00	0.00	0.00	0.00	0.00
transcript166	HORVU.RGT_PLANET.PROJ.1HG00001730	0.00	0.00	0.00	0.00	0.00	0.00
transcript172	HORVU.RGT_PLANET.PROJ.1HG00001760	0.00	0.00	0.00	0.00	0.00	0.00
transcript173	HORVU.RGT_PLANET.PROJ.1HG00001770	0.00	0.00	0.00	0.00	0.00	0.00
transcript175	HORVU.RGT_PLANET.PROJ.1HG00001790	0.00	0.00	0.00	0.00	0.00	0.00
transcript178	HORVU.RGT_PLANET.PROJ.1HG00001800	0.00	0.00	0.00	0.00	0.00	0.00
transcript179	HORVU.RGT_PLANET.PROJ.1HG00001820	0.00	0.00	0.00	0.00	0.00	0.00
transcript180	HORVU.RGT_PLANET.PROJ.1HG00001830	0.00	0.00	0.00	0.00	0.00	0.00
transcript182	HORVU.RGT_PLANET.PROJ.1HG00001840	0.00	0.00	0.00	0.00	0.00	0.00
transcript183	HORVU.RGT_PLANET.PROJ.1HG00001850	0.00	0.00	0.00	0.00	0.00	0.00
transcript184	HORVU.RGT_PLANET.PROJ.1HG00001860	0.00	0.00	0.00	0.00	0.00	0.00
transcript185	HORVU.RGT_PLANET.PROJ.1HG00001870	0.00	0.00	0.00	0.00	0.00	0.00
transcript186	HORVU.RGT_PLANET.PROJ.1HG00001880	78.00	41.00	39.00	49.00	54.00	70.00
transcript187	HORVU.RGT_PLANET.PROJ.1HG00001890	76.00	99.00	103.00	39.00	27.00	55.00
transcript188	HORVU.RGT_PLANET.PROJ.1HG00001900	0.00	0.00	0.00	0.00	0.00	0.00
transcript189	HORVU.RGT_PLANET.PROJ.1HG00001910	0.00	0.00	0.00	0.00	0.00	0.00
transcript191	HORVU.RGT_PLANET.PROJ.1HG00001920	0.00	0.00	0.00	1.00	0.00	0.00
transcript193	HORVU.RGT_PLANET.PROJ.1HG00001930	0.00	0.00	0.00	0.00	0.00	0.00
transcript194	HORVU.RGT_PLANET.PROJ.1HG00001950	0.00	0.00	0.00	0.00	0.00	0.00
transcript195	HORVU.RGT_PLANET.PROJ.1HG00001960	0.00	0.00	0.00	0.00	0.00	0.00
transcript196	HORVU.RGT_PLANET.PROJ.1HG00001970	0.00	0.00	0.00	0.00	0.00	0.00
transcript197	HORVU.RGT_PLANET.PROJ.1HG00001990	0.00	0.00	0.00	0.00	0.00	0.00
transcript198	HORVU.RGT_PLANET.PROJ.1HG00002000	0.00	0.00	0.00	0.00	0.00	0.00
transcript204	HORVU.RGT_PLANET.PROJ.1HG00002010	145.82	128.87	131.53	382.61	492.29	396.19
transcript205	HORVU.RGT_PLANET.PROJ.1HG00002020	547.57	365.82	598.88	837.33	688.92	976.00
transcript206	HORVU.RGT_PLANET.PROJ.1HG00002020	30.43	30.18	74.12	62.67	67.08	0.00
transcript207	HORVU.RGT_PLANET.PROJ.1HG00002030	1.00	2.00	6.00	0.00	0.00	0.00
transcript208	HORVU.RGT_PLANET.PROJ.1HG00002040	0.00	0.00	0.00	0.00	0.00	0.00
transcript210	HORVU.RGT_PLANET.PROJ.1HG00002050	0.00	0.00	0.00	0.00	0.00	0.00
transcript212	HORVU.RGT_PLANET.PROJ.1HG00002060	0.00	0.00	0.00	0.00	0.00	0.00
transcript213	HORVU.RGT_PLANET.PROJ.1HG00002070	0.00	0.00	0.00	0.00	0.00	0.00
transcript215	HORVU.RGT_PLANET.PROJ.1HG00002100	0.00	0.00	0.00	0.00	0.00	0.00
transcript216	HORVU.RGT_PLANET.PROJ.1HG00002110	0.00	0.00	0.00	0.00	0.00	0.00
transcript217	HORVU.RGT_PLANET.PROJ.1HG00002120	0.00	0.00	0.00	0.00	0.00	0.00
transcript218	HORVU.RGT_PLANET.PROJ.1HG00002130	0.00	0.00	0.00	0.00	0.00	0.00
transcript219	HORVU.RGT_PLANET.PROJ.1HG00002140	0.00	0.00	0.00	0.00	0.00	0.00
transcript221	HORVU.RGT_PLANET.PROJ.1HG00002200	0.00	0.00	0.00	0.00	0.00	0.00
transcript223	HORVU.RGT_PLANET.PROJ.1HG00002240	0.00	0.00	0.00	0.00	0.00	0.00
transcript225	HORVU.RGT_PLANET.PROJ.1HG00002290	0.00	0.00	0.00	0.00	0.00	0.00
transcript226	HORVU.RGT_PLANET.PROJ.1HG00002310	0.00	0.00	0.00	0.00	0.00	0.00
transcript227	HORVU.RGT_PLANET.PROJ.1HG00002320	0.00	0.00	0.00	0.00	0.00	0.00
transcript228	HORVU.RGT_PLANET.PROJ.1HG00002340	336.06	44.00	79.00	13579.60	14753.08	14246.81
transcript229	HORVU.RGT_PLANET.PROJ.1HG00002340	15.94	0.00	0.00	442.40	325.92	431.19
transcript230	HORVU.RGT_PLANET.PROJ.1HG00002360	0.00	0.00	0.00	0.00	5.00	1.00
transcript231	HORVU.RGT_PLANET.PROJ.1HG00002370	0.00	0.00	0.00	0.00	0.00	0.00
transcript232	HORVU.RGT_PLANET.PROJ.1HG00002390	0.00	0.00	0.00	0.00	0.00	0.00
transcript233	HORVU.RGT_PLANET.PROJ.1HG00002400	0.00	0.00	0.00	0.00	0.00	0.00
transcript234	HORVU.RGT_PLANET.PROJ.1HG00002430	0.00	0.00	0.00	0.00	0.00	0.00
transcript235	HORVU.RGT_PLANET.PROJ.1HG00002440	0.00	0.00	0.00	0.00	0.00	0.00
transcript238	HORVU.RGT_PLANET.PROJ.1HG00002470	0.00	0.00	0.00	0.00	0.00	0.00
transcript239	HORVU.RGT_PLANET.PROJ.1HG00002500	0.00	0.00	0.00	0.00	0.00	0.00
transcript241	HORVU.RGT_PLANET.PROJ.1HG00002530	2.00	0.00	0.00	0.00	0.00	2.00
transcript242	HORVU.RGT_PLANET.PROJ.1HG00002540	0.00	0.00	0.00	0.00	0.00	0.00
transcript243	HORVU.RGT_PLANET.PROJ.1HG00002550	0.00	0.00	0.00	0.00	0.00	0.00
transcript245	HORVU.RGT_PLANET.PROJ.1HG00002560	0.00	0.00	0.00	0.00	0.00	0.00
transcript246	HORVU.RGT_PLANET.PROJ.1HG00002590	0.00	0.00	0.00	0.00	0.00	0.00
transcript247	HORVU.RGT_PLANET.PROJ.1HG00002600	0.00	0.00	0.00	0.00	0.00	0.00
transcript248	HORVU.RGT_PLANET.PROJ.1HG00002620	0.00	0.00	0.00	0.00	0.00	0.00
transcript249	HORVU.RGT_PLANET.PROJ.1HG00002630	0.00	0.00	0.00	0.00	0.00	0.00
transcript250	HORVU.RGT_PLANET.PROJ.1HG00002640	4.00	2.00	8.00	1.00	3.00	10.00
transcript251	HORVU.RGT_PLANET.PROJ.1HG00002670	644.00	507.00	746.00	1115.15	1038.00	1211.00
transcript252	HORVU.RGT_PLANET.PROJ.1HG00002670	0.00	0.00	0.00	11.85	0.00	0.00
transcript253	HORVU.RGT_PLANET.PROJ.1HG00002680	0.00	0.00	0.00	0.00	0.00	0.00
transcript255	HORVU.RGT_PLANET.PROJ.1HG00002700	0.00	1.00	2.00	0.00	1.00	2.00
transcript256	HORVU.RGT_PLANET.PROJ.1HG00002710	218.00	145.00	226.00	361.00	422.00	399.00
transcript257	HORVU.RGT_PLANET.PROJ.1HG00002720	282.00	217.00	284.00	341.00	348.00	379.00
transcript259	HORVU.RGT_PLANET.PROJ.1HG00002730	107.00	153.00	145.00	42.00	39.00	57.00
transcript261	HORVU.RGT_PLANET.PROJ.1HG00002770	0.00	0.00	0.00	0.00	0.00	0.00
transcript262	HORVU.RGT_PLANET.PROJ.1HG00002790	0.00	0.00	0.00	0.00	0.00	0.00
transcript263	HORVU.RGT_PLANET.PROJ.1HG00002800	0.00	0.00	0.00	0.00	0.00	0.00
transcript264	HORVU.RGT_PLANET.PROJ.1HG00002810	0.00	0.00	0.00	0.00	0.00	0.00
transcript265	HORVU.RGT_PLANET.PROJ.1HG00002820	217.00	194.00	280.00	170.00	201.00	234.00
transcript267	HORVU.RGT_PLANET.PROJ.1HG00002840	0.00	0.00	0.00	0.00	0.00	0.00
transcript268	HORVU.RGT_PLANET.PROJ.1HG00002850	0.00	0.00	0.00	0.00	0.00	0.00
transcript269	HORVU.RGT_PLANET.PROJ.1HG00002860	44.46	47.07	39.63	38.91	25.40	27.27
transcript270	HORVU.RGT_PLANET.PROJ.1HG00002870	7999.60	8712.32	9452.08	5845.50	3571.59	3509.10
transcript271	HORVU.RGT_PLANET.PROJ.1HG00002870	2063.96	1187.80	1366.46	12346.06	11358.04	10890.01
transcript272	HORVU.RGT_PLANET.PROJ.1HG00002870	861.98	1032.81	961.82	1084.52	1247.97	1027.63
transcript273	HORVU.RGT_PLANET.PROJ.1HG00002890	1.00	3.00	0.00	0.00	0.00	0.00
transcript274	HORVU.RGT_PLANET.PROJ.1HG00002900	1.00	0.00	22.00	0.00	0.00	0.00
transcript275	HORVU.RGT_PLANET.PROJ.1HG00002910	1.00	4.00	0.00	580.00	175.00	107.00
transcript276	HORVU.RGT_PLANET.PROJ.1HG00002930	0.00	0.00	0.00	0.00	0.00	0.00
transcript279	HORVU.RGT_PLANET.PROJ.1HG00002970	0.00	0.00	0.00	0.00	0.00	0.00
transcript280	HORVU.RGT_PLANET.PROJ.1HG00002980	0.00	0.00	0.00	0.00	0.00	0.00
transcript281	HORVU.RGT_PLANET.PROJ.1HG00003000	806.00	924.00	563.00	11.00	13.00	8.00
transcript282	HORVU.RGT_PLANET.PROJ.1HG00003010	248.00	240.00	286.00	177.00	132.00	126.00
transcript283	HORVU.RGT_PLANET.PROJ.1HG00003020	1330.00	1059.00	1622.00	2112.00	2231.00	2553.00
transcript284	HORVU.RGT_PLANET.PROJ.1HG00003030	74.00	37.00	98.00	150.00	119.00	169.00
transcript285	HORVU.RGT_PLANET.PROJ.1HG00003050	0.00	0.00	0.00	0.00	7.00	35.00
transcript286	HORVU.RGT_PLANET.PROJ.1HG00003070	0.00	0.00	0.00	0.00	2.00	1.00
transcript289	HORVU.RGT_PLANET.PROJ.1HG00003100	723.00	549.29	912.52	274.00	169.15	223.00
transcript290	HORVU.RGT_PLANET.PROJ.1HG00003100	0.00	0.00	0.00	0.00	0.00	0.00
transcript291	HORVU.RGT_PLANET.PROJ.1HG00003110	0.00	4.71	9.48	0.00	0.85	0.00
transcript292	HORVU.RGT_PLANET.PROJ.1HG00003120	79.13	75.09	193.35	145.97	147.10	218.17
transcript293	HORVU.RGT_PLANET.PROJ.1HG00003120	162.47	124.61	167.02	235.85	138.62	239.88
transcript294	HORVU.RGT_PLANET.PROJ.1HG00003120	74.40	125.30	154.63	92.18	102.28	156.95
transcript295	HORVU.RGT_PLANET.PROJ.1HG00003130	139.00	134.00	180.00	128.00	86.00	103.00
transcript296	HORVU.RGT_PLANET.PROJ.1HG00003150	0.00	0.00	0.00	0.00	0.00	0.00
transcript297	HORVU.RGT_PLANET.PROJ.1HG00003160	1.00	0.00	0.00	0.00	0.00	0.00
transcript299	HORVU.RGT_PLANET.PROJ.1HG00003170	117.00	43.00	215.00	10.00	20.00	21.00
transcript300	HORVU.RGT_PLANET.PROJ.1HG00003180	0.00	0.00	0.00	0.00	0.00	0.00
transcript301	HORVU.RGT_PLANET.PROJ.1HG00003190	0.00	0.00	0.00	0.00	0.00	0.00
transcript302	HORVU.RGT_PLANET.PROJ.1HG00003200	0.00	0.00	0.00	0.00	0.00	0.00
transcript303	HORVU.RGT_PLANET.PROJ.1HG00003210	0.00	0.00	0.00	3.00	18.00	6.00
transcript304	HORVU.RGT_PLANET.PROJ.1HG00003220	4.00	7.00	1.00	0.00	0.00	0.00
transcript305	HORVU.RGT_PLANET.PROJ.1HG00003240	0.00	0.00	0.00	0.00	1.00	0.00
transcript307	HORVU.RGT_PLANET.PROJ.1HG00003270	0.00	0.00	0.00	0.00	1.00	0.00
transcript308	HORVU.RGT_PLANET.PROJ.1HG00003290	0.00	0.00	0.00	0.00	0.00	0.00
transcript309	HORVU.RGT_PLANET.PROJ.1HG00003300	0.00	0.00	0.00	0.00	0.00	0.00
transcript310	HORVU.RGT_PLANET.PROJ.1HG00003310	279.00	105.00	165.00	782.00	637.00	605.00
transcript311	HORVU.RGT_PLANET.PROJ.1HG00003320	55.33	9.13	22.55	685.90	543.57	427.06
transcript312	HORVU.RGT_PLANET.PROJ.1HG00003340	9.00	2.00	6.00	6.00	1.00	4.00
transcript313	HORVU.RGT_PLANET.PROJ.1HG00003370	1049.00	838.00	1075.00	621.00	523.00	658.00
transcript314	HORVU.RGT_PLANET.PROJ.1HG00003380	3406.00	2329.00	2922.00	4166.00	4299.00	4399.00
transcript315	HORVU.RGT_PLANET.PROJ.1HG00003390	0.00	0.00	2.94	0.00	3.08	3.14
transcript316	HORVU.RGT_PLANET.PROJ.1HG00003390	304.00	241.00	315.06	204.00	171.92	196.86
transcript317	HORVU.RGT_PLANET.PROJ.1HG00003400	209.67	115.87	177.45	2732.10	2256.43	2235.94
transcript318	HORVU.RGT_PLANET.PROJ.1HG00003410	78.00	52.00	62.00	1613.00	1266.00	1243.00
transcript319	HORVU.RGT_PLANET.PROJ.1HG00003420	22.00	14.00	34.00	4.00	5.00	2.00
transcript321	HORVU.RGT_PLANET.PROJ.1HG00003460	0.00	0.00	0.00	0.00	0.00	0.00
transcript322	HORVU.RGT_PLANET.PROJ.1HG00003470	27.00	42.00	46.00	56.00	35.00	42.00
transcript323	HORVU.RGT_PLANET.PROJ.1HG00003490	37.00	8.00	5.00	2.00	0.00	0.00
transcript324	HORVU.RGT_PLANET.PROJ.1HG00003500	0.00	0.00	0.00	0.00	0.00	0.00
transcript325	HORVU.RGT_PLANET.PROJ.1HG00003520	0.00	0.00	0.00	0.00	0.00	0.00
transcript326	HORVU.RGT_PLANET.PROJ.1HG00003530	275.00	231.00	312.00	96.00	61.00	81.00
transcript327	HORVU.RGT_PLANET.PROJ.1HG00003540	0.00	0.00	0.00	0.00	0.00	0.00
transcript329	HORVU.RGT_PLANET.PROJ.1HG00003570	3768.88	2644.93	5155.46	4380.34	3881.10	4222.12
transcript330	HORVU.RGT_PLANET.PROJ.1HG00003570	192.12	123.07	259.54	222.66	153.90	157.88
transcript331	HORVU.RGT_PLANET.PROJ.1HG00003580	261.00	125.00	214.00	120.00	99.00	93.00
transcript332	HORVU.RGT_PLANET.PROJ.1HG00003590	1.00	0.00	0.00	0.00	2.00	0.00
transcript333	HORVU.RGT_PLANET.PROJ.1HG00003610	185.00	91.00	209.00	1014.00	919.00	1016.00
transcript334	HORVU.RGT_PLANET.PROJ.1HG00003620	4.00	0.00	1.00	69.00	78.00	79.00
transcript335	HORVU.RGT_PLANET.PROJ.1HG00003630	0.00	0.00	0.00	0.00	0.00	0.00
transcript336	HORVU.RGT_PLANET.PROJ.1HG00003640	0.00	0.00	0.00	0.00	0.00	1.00
transcript337	HORVU.RGT_PLANET.PROJ.1HG00003650	0.00	0.00	0.00	0.00	0.00	0.00
transcript338	HORVU.RGT_PLANET.PROJ.1HG00003680	220.00	140.00	361.00	534.00	614.00	256.00
transcript339	HORVU.RGT_PLANET.PROJ.1HG00003690	0.00	0.00	0.00	0.00	0.00	0.00
transcript340	HORVU.RGT_PLANET.PROJ.1HG00003700	71.00	18.00	32.00	28.00	36.00	27.00
transcript344	HORVU.RGT_PLANET.PROJ.1HG00003750	0.00	0.00	0.00	0.00	0.00	0.00
transcript345	HORVU.RGT_PLANET.PROJ.1HG00003760	0.00	0.00	0.00	0.00	0.00	0.00
transcript346	HORVU.RGT_PLANET.PROJ.1HG00003770	1033.00	846.00	902.00	953.00	1001.00	1213.00
transcript347	HORVU.RGT_PLANET.PROJ.1HG00003770	0.00	0.00	0.00	0.00	0.00	0.00
transcript350	HORVU.RGT_PLANET.PROJ.1HG00003780	0.00	0.00	0.00	0.00	0.00	0.00
transcript351	HORVU.RGT_PLANET.PROJ.1HG00003790	0.00	0.00	0.00	10.00	5.00	6.00
transcript352	HORVU.RGT_PLANET.PROJ.1HG00003800	0.00	0.00	0.00	0.00	0.00	0.00
transcript353	HORVU.RGT_PLANET.PROJ.1HG00003810	0.00	0.00	0.00	10.00	5.00	6.00
transcript354	HORVU.RGT_PLANET.PROJ.1HG00003820	0.00	0.00	0.00	0.00	0.00	0.00
transcript355	HORVU.RGT_PLANET.PROJ.1HG00003830	2.36	0.10	0.00	2.86	0.00	1.46
transcript356	HORVU.RGT_PLANET.PROJ.1HG00003840	20.00	12.00	18.00	10.00	13.00	12.00
transcript357	HORVU.RGT_PLANET.PROJ.1HG00003850	0.00	0.00	0.00	0.00	0.00	0.00
transcript359	HORVU.RGT_PLANET.PROJ.1HG00003860	0.00	0.00	0.00	0.00	0.00	0.00
transcript361	HORVU.RGT_PLANET.PROJ.1HG00003930	0.00	0.00	0.00	0.00	0.00	0.00
transcript362	HORVU.RGT_PLANET.PROJ.1HG00003940	0.00	0.00	0.00	4.50	1.50	5.50
transcript363	HORVU.RGT_PLANET.PROJ.1HG00003960	0.00	0.00	0.00	0.00	0.00	0.00
transcript364	HORVU.RGT_PLANET.PROJ.1HG00003970	0.00	0.00	0.00	3.00	0.00	0.00
transcript365	HORVU.RGT_PLANET.PROJ.1HG00003980	0.00	0.00	0.00	4.50	1.50	5.50
transcript366	HORVU.RGT_PLANET.PROJ.1HG00004000	0.00	0.00	0.00	0.00	0.00	0.00
transcript367	HORVU.RGT_PLANET.PROJ.1HG00004010	0.00	0.00	0.00	0.00	0.00	0.00
transcript369	HORVU.RGT_PLANET.PROJ.1HG00004020	1224.00	1149.00	1687.00	1714.00	1481.00	1862.00
transcript370	HORVU.RGT_PLANET.PROJ.1HG00004030	6.05	0.00	1.14	3.11	0.00	0.00
transcript371	HORVU.RGT_PLANET.PROJ.1HG00004040	280.64	150.90	245.00	292.14	206.00	210.54
