transcript_id	gene_id	Control_1A	Control_2A	Control_3A	NB29-A_1	NB29-A_2	NB29-A_3
transcript126	HORVU.RGT_PLANET.PROJ.1HG00001420	0.00	0.00	0.00	0.00	0.00	0.00
transcript127	HORVU.RGT_PLANET.PROJ.1HG00001430	0.00	0.00	0.00	0.00	0.00	0.00
transcript128	HORVU.RGT_PLANET.PROJ.1HG00001440	0.00	0.00	0.00	0.00	0.00	0.00
transcript129	HORVU.RGT_PLANET.PROJ.1HG00001450	1.00	1.91	0.50	0.00	0.00	0.84
transcript130	HORVU.RGT_PLANET.PROJ.1HG00001460	1.00	1.91	0.50	0.00	0.00	0.84
transcript131	HORVU.RGT_PLANET.PROJ.1HG00001470	3.00	0.00	0.00	0.00	0.00	7.60
transcript132	HORVU.RGT_PLANET.PROJ.1HG00001480	0.00	3.08	0.00	5.54	3.61	2.86
transcript133	HORVU.RGT_PLANET.PROJ.1HG00001490	0.00	0.00	0.00	0.00	0.00	0.00
transcript134	HORVU.RGT_PLANET.PROJ.1HG00001500	0.00	0.01	0.00	0.03	0.03	0.07
transcript135	HORVU.RGT_PLANET.PROJ.1HG00001510	0.00	2.56	0.00	3.53	0.00	0.00
transcript136	HORVU.RGT_PLANET.PROJ.1HG00001520	0.00	0.00	0.00	0.00	0.00	0.00
transcript137	HORVU.RGT_PLANET.PROJ.1HG00001530	0.00	1.00	0.00	0.00	0.00	0.00
transcript140	HORVU.RGT_PLANET.PROJ.1HG00001540	0.00	0.00	0.00	0.00	0.00	0.00
transcript143	HORVU.RGT_PLANET.PROJ.1HG00001560	0.00	0.00	0.00	0.00	0.00	0.00
transcript145	HORVU.RGT_PLANET.PROJ.1HG00001580	0.00	0.00	0.00	0.00	0.00	0.00
transcript151	HORVU.RGT_PLANET.PROJ.1HG00001610	0.00	0.00	0.00	0.00	0.00	0.00
transcript152	HORVU.RGT_PLANET.PROJ.1HG00001620	0.00	0.00	0.00	0.00	0.00	0.00
transcript158	HORVU.RGT_PLANET.PROJ.1HG00001640	0.00	0.00	0.00	0.00	0.00	0.00
transcript165	HORVU.RGT_PLANET.PROJ.1HG00001700	0.00	0.00	0.00	0.00	0.00	0.00
transcript167	HORVU.RGT_PLANET.PROJ.1HG00001730	0.00	0.00	0.00	0.00	0.00	0.00
transcript173	HORVU.RGT_PLANET.PROJ.1HG00001760	0.00	0.00	0.00	0.00	0.00	0.00
transcript174	HORVU.RGT_PLANET.PROJ.1HG00001770	0.00	0.00	0.00	0.00	0.00	0.00
transcript176	HORVU.RGT_PLANET.PROJ.1HG00001790	0.00	0.00	0.00	0.00	0.00	0.00
transcript179	HORVU.RGT_PLANET.PROJ.1HG00001800	0.00	0.00	0.00	0.00	0.00	0.00
transcript180	HORVU.RGT_PLANET.PROJ.1HG00001820	0.00	0.00	0.00	0.00	0.00	0.00
transcript181	HORVU.RGT_PLANET.PROJ.1HG00001830	0.00	0.00	0.00	0.00	0.00	0.00
transcript183	HORVU.RGT_PLANET.PROJ.1HG00001840	0.00	0.00	0.00	0.00	0.00	0.00
transcript184	HORVU.RGT_PLANET.PROJ.1HG00001850	0.00	0.00	0.00	0.00	0.00	0.00
transcript185	HORVU.RGT_PLANET.PROJ.1HG00001860	0.00	0.00	0.00	0.00	0.00	0.00
transcript186	HORVU.RGT_PLANET.PROJ.1HG00001870	0.00	0.00	0.00	0.00	0.00	0.00
transcript187	HORVU.RGT_PLANET.PROJ.1HG00001880	78.00	41.00	39.00	49.00	54.00	70.00
transcript188	HORVU.RGT_PLANET.PROJ.1HG00001890	76.00	99.00	103.00	39.00	27.00	55.00
transcript189	HORVU.RGT_PLANET.PROJ.1HG00001900	0.00	0.00	0.00	0.00	0.00	0.00
transcript190	HORVU.RGT_PLANET.PROJ.1HG00001910	0.00	0.00	0.00	0.00	0.00	0.00
transcript192	HORVU.RGT_PLANET.PROJ.1HG00001920	0.00	0.00	0.00	1.00	0.00	0.00
transcript194	HORVU.RGT_PLANET.PROJ.1HG00001930	0.00	0.00	0.00	0.00	0.00	0.00
transcript195	HORVU.RGT_PLANET.PROJ.1HG00001950	0.00	0.00	0.00	0.00	0.00	0.00
transcript196	HORVU.RGT_PLANET.PROJ.1HG00001960	0.00	0.00	0.00	0.00	0.00	0.00
transcript197	HORVU.RGT_PLANET.PROJ.1HG00001970	0.00	0.00	0.00	0.00	0.00	0.00
transcript198	HORVU.RGT_PLANET.PROJ.1HG00001990	0.00	0.00	0.00	0.00	0.00	0.00
transcript199	HORVU.RGT_PLANET.PROJ.1HG00002000	0.00	0.00	0.00	0.00	0.00	0.00
transcript205	HORVU.RGT_PLANET.PROJ.1HG00002030	1.00	2.00	6.00	0.00	0.00	0.00
transcript206	HORVU.RGT_PLANET.PROJ.1HG00002040	0.00	0.00	0.00	0.00	0.00	0.00
transcript208	HORVU.RGT_PLANET.PROJ.1HG00002050	0.00	0.00	0.00	0.00	0.00	0.00
transcript210	HORVU.RGT_PLANET.PROJ.1HG00002060	0.00	0.00	0.00	0.00	0.00	0.00
transcript211	HORVU.RGT_PLANET.PROJ.1HG00002070	0.00	0.00	0.00	0.00	0.00	0.00
transcript213	HORVU.RGT_PLANET.PROJ.1HG00002100	0.00	0.00	0.00	0.00	0.00	0.00
transcript214	HORVU.RGT_PLANET.PROJ.1HG00002110	0.00	0.00	0.00	0.00	0.00	0.00
transcript215	HORVU.RGT_PLANET.PROJ.1HG00002120	0.00	0.00	0.00	0.00	0.00	0.00
transcript216	HORVU.RGT_PLANET.PROJ.1HG00002130	0.00	0.00	0.00	0.00	0.00	0.00
transcript217	HORVU.RGT_PLANET.PROJ.1HG00002140	0.00	0.00	0.00	0.00	0.00	0.00
transcript219	HORVU.RGT_PLANET.PROJ.1HG00002200	0.00	0.00	0.00	0.00	0.00	0.00
transcript221	HORVU.RGT_PLANET.PROJ.1HG00002240	0.00	0.00	0.00	0.00	0.00	0.00
transcript223	HORVU.RGT_PLANET.PROJ.1HG00002290	0.00	0.00	0.00	0.00	0.00	0.00
transcript224	HORVU.RGT_PLANET.PROJ.1HG00002310	0.00	0.00	0.00	0.00	0.00	0.00
transcript225	HORVU.RGT_PLANET.PROJ.1HG00002320	0.00	0.00	0.00	0.00	0.00	0.00
transcript230	HORVU.RGT_PLANET.PROJ.1HG00002360	0.00	0.00	0.00	0.00	5.00	1.00
transcript231	HORVU.RGT_PLANET.PROJ.1HG00002370	0.00	0.00	0.00	0.00	0.00	0.00
transcript232	HORVU.RGT_PLANET.PROJ.1HG00002390	0.00	0.00	0.00	0.00	0.00	0.00
transcript233	HORVU.RGT_PLANET.PROJ.1HG00002400	0.00	0.00	0.00	0.00	0.00	0.00
transcript234	HORVU.RGT_PLANET.PROJ.1HG00002430	0.00	0.00	0.00	0.00	0.00	0.00
transcript235	HORVU.RGT_PLANET.PROJ.1HG00002440	0.00	0.00	0.00	0.00	0.00	0.00
transcript238	HORVU.RGT_PLANET.PROJ.1HG00002470	0.00	0.00	0.00	0.00	0.00	0.00
transcript239	HORVU.RGT_PLANET.PROJ.1HG00002500	0.00	0.00	0.00	0.00	0.00	0.00
transcript241	HORVU.RGT_PLANET.PROJ.1HG00002530	2.00	0.00	0.00	0.00	0.00	2.00
transcript242	HORVU.RGT_PLANET.PROJ.1HG00002540	0.00	0.00	0.00	0.00	0.00	0.00
transcript243	HORVU.RGT_PLANET.PROJ.1HG00002550	0.00	0.00	0.00	0.00	0.00	0.00
transcript245	HORVU.RGT_PLANET.PROJ.1HG00002560	0.00	0.00	0.00	0.00	0.00	0.00
transcript246	HORVU.RGT_PLANET.PROJ.1HG00002590	0.00	0.00	0.00	0.00	0.00	0.00
transcript247	HORVU.RGT_PLANET.PROJ.1HG00002600	0.00	0.00	0.00	0.00	0.00	0.00
transcript248	HORVU.RGT_PLANET.PROJ.1HG00002620	0.00	0.00	0.00	0.00	0.00	0.00
transcript249	HORVU.RGT_PLANET.PROJ.1HG00002630	0.00	0.00	0.00	0.00	0.00	0.00
transcript253	HORVU.RGT_PLANET.PROJ.1HG00002680	0.00	0.00	0.00	0.00	0.00	0.00
transcript255	HORVU.RGT_PLANET.PROJ.1HG00002700	0.00	1.00	2.00	0.00	1.00	2.00
transcript262	HORVU.RGT_PLANET.PROJ.1HG00002770	0.00	0.00	0.00	0.00	0.00	0.00
transcript263	HORVU.RGT_PLANET.PROJ.1HG00002790	0.00	0.00	0.00	0.00	0.00	0.00
transcript264	HORVU.RGT_PLANET.PROJ.1HG00002800	0.00	0.00	0.00	0.00	0.00	0.00
transcript265	HORVU.RGT_PLANET.PROJ.1HG00002810	0.00	0.00	0.00	0.00	0.00	0.00
transcript268	HORVU.RGT_PLANET.PROJ.1HG00002840	0.00	0.00	0.00	0.00	0.00	0.00
transcript269	HORVU.RGT_PLANET.PROJ.1HG00002850	0.00	0.00	0.00	0.00	0.00	0.00
transcript270	HORVU.RGT_PLANET.PROJ.1HG00002860	169.00	182.00	192.00	103.00	70.00	63.00
transcript272	HORVU.RGT_PLANET.PROJ.1HG00002890	1.00	3.00	0.00	0.00	0.00	0.00
transcript275	HORVU.RGT_PLANET.PROJ.1HG00002930	0.00	0.00	0.00	0.00	0.00	0.00
transcript278	HORVU.RGT_PLANET.PROJ.1HG00002970	0.00	0.00	0.00	0.00	0.00	0.00
transcript279	HORVU.RGT_PLANET.PROJ.1HG00002980	0.00	0.00	0.00	0.00	0.00	0.00
transcript284	HORVU.RGT_PLANET.PROJ.1HG00003050	0.00	0.00	0.00	0.00	7.00	35.00
transcript285	HORVU.RGT_PLANET.PROJ.1HG00003070	0.00	0.00	0.00	0.00	2.00	1.00
transcript294	HORVU.RGT_PLANET.PROJ.1HG00003150	0.00	0.00	0.00	0.00	0.00	0.00
transcript295	HORVU.RGT_PLANET.PROJ.1HG00003160	1.00	0.00	0.00	0.00	0.00	0.00
transcript298	HORVU.RGT_PLANET.PROJ.1HG00003180	0.00	0.00	0.00	0.00	0.00	0.00
transcript299	HORVU.RGT_PLANET.PROJ.1HG00003190	0.00	0.00	0.00	0.00	0.00	0.00
transcript300	HORVU.RGT_PLANET.PROJ.1HG00003200	0.00	0.00	0.00	0.00	0.00	0.00
transcript301	HORVU.RGT_PLANET.PROJ.1HG00003210	0.00	0.00	0.00	3.00	18.00	6.00
transcript302	HORVU.RGT_PLANET.PROJ.1HG00003220	4.00	7.00	1.00	0.00	0.00	0.00
transcript303	HORVU.RGT_PLANET.PROJ.1HG00003240	0.00	0.00	0.00	0.00	1.00	0.00
transcript305	HORVU.RGT_PLANET.PROJ.1HG00003270	0.00	0.00	0.00	0.00	1.00	0.00
transcript306	HORVU.RGT_PLANET.PROJ.1HG00003290	0.00	0.00	0.00	0.00	0.00	0.00
transcript307	HORVU.RGT_PLANET.PROJ.1HG00003300	0.00	0.00	0.00	0.00	0.00	0.00
transcript311	HORVU.RGT_PLANET.PROJ.1HG00003340	9.00	2.00	6.00	6.00	1.00	4.00
transcript317	HORVU.RGT_PLANET.PROJ.1HG00003420	22.00	14.00	34.00	4.00	5.00	2.00
transcript319	HORVU.RGT_PLANET.PROJ.1HG00003460	0.00	0.00	0.00	0.00	0.00	0.00
transcript320	HORVU.RGT_PLANET.PROJ.1HG00003470	27.00	42.00	46.00	56.00	35.00	42.00
transcript321	HORVU.RGT_PLANET.PROJ.1HG00003490	37.00	8.00	5.00	2.00	0.00	0.00
transcript322	HORVU.RGT_PLANET.PROJ.1HG00003500	0.00	0.00	0.00	0.00	0.00	0.00
transcript323	HORVU.RGT_PLANET.PROJ.1HG00003520	0.00	0.00	0.00	0.00	0.00	0.00
transcript325	HORVU.RGT_PLANET.PROJ.1HG00003540	0.00	0.00	0.00	0.00	0.00	0.00
transcript330	HORVU.RGT_PLANET.PROJ.1HG00003590	1.00	0.00	0.00	0.00	2.00	0.00
transcript332	HORVU.RGT_PLANET.PROJ.1HG00003620	4.00	0.00	1.00	69.00	78.00	79.00
transcript333	HORVU.RGT_PLANET.PROJ.1HG00003630	0.00	0.00	0.00	0.00	0.00	0.00
transcript334	HORVU.RGT_PLANET.PROJ.1HG00003640	0.00	0.00	0.00	0.00	0.00	1.00
transcript335	HORVU.RGT_PLANET.PROJ.1HG00003650	0.00	0.00	0.00	0.00	0.00	0.00
transcript337	HORVU.RGT_PLANET.PROJ.1HG00003690	0.00	0.00	0.00	0.00	0.00	0.00
transcript338	HORVU.RGT_PLANET.PROJ.1HG00003700	71.00	18.00	32.00	28.00	36.00	27.00
transcript342	HORVU.RGT_PLANET.PROJ.1HG00003750	0.00	0.00	0.00	0.00	0.00	0.00
transcript343	HORVU.RGT_PLANET.PROJ.1HG00003760	0.00	0.00	0.00	0.00	0.00	0.00
transcript348	HORVU.RGT_PLANET.PROJ.1HG00003780	0.00	0.00	0.00	0.00	0.00	0.00
transcript349	HORVU.RGT_PLANET.PROJ.1HG00003790	0.00	0.00	0.00	10.00	5.00	6.00
transcript350	HORVU.RGT_PLANET.PROJ.1HG00003800	0.00	0.00	0.00	0.00	0.00	0.00
transcript351	HORVU.RGT_PLANET.PROJ.1HG00003810	0.00	0.00	0.00	10.00	5.00	6.00
transcript352	HORVU.RGT_PLANET.PROJ.1HG00003820	0.00	0.00	0.00	0.00	0.00	0.00
transcript353	HORVU.RGT_PLANET.PROJ.1HG00003830	2.35	0.09	0.00	2.85	0.00	1.46
transcript354	HORVU.RGT_PLANET.PROJ.1HG00003840	20.00	12.00	18.00	10.00	13.00	12.00
transcript355	HORVU.RGT_PLANET.PROJ.1HG00003850	0.00	0.00	0.00	0.00	0.00	0.00
transcript357	HORVU.RGT_PLANET.PROJ.1HG00003860	0.00	0.00	0.00	0.00	0.00	0.00
transcript359	HORVU.RGT_PLANET.PROJ.1HG00003930	0.00	0.00	0.00	0.00	0.00	0.00
transcript360	HORVU.RGT_PLANET.PROJ.1HG00003940	0.00	0.00	0.00	4.50	1.50	5.50
transcript361	HORVU.RGT_PLANET.PROJ.1HG00003960	0.00	0.00	0.00	0.00	0.00	0.00
transcript362	HORVU.RGT_PLANET.PROJ.1HG00003970	0.00	0.00	0.00	3.00	0.00	0.00
transcript363	HORVU.RGT_PLANET.PROJ.1HG00003980	0.00	0.00	0.00	4.50	1.50	5.50
transcript364	HORVU.RGT_PLANET.PROJ.1HG00004000	0.00	0.00	0.00	0.00	0.00	0.00
transcript365	HORVU.RGT_PLANET.PROJ.1HG00004010	0.00	0.00	0.00	0.00	0.00	0.00
transcript368	HORVU.RGT_PLANET.PROJ.1HG00004030	6.03	0.00	1.13	3.12	0.00	0.00
transcript370	HORVU.RGT_PLANET.PROJ.1HG00004050	1.00	1.00	0.00	5.00	6.00	2.00
transcript371	HORVU.RGT_PLANET.PROJ.1HG00004060	0.00	0.00	0.00	0.00	2.00	0.00
transcript373	HORVU.RGT_PLANET.PROJ.1HG00004080	0.00	0.00	0.00	0.00	0.00	0.00
transcript374	HORVU.RGT_PLANET.PROJ.1HG00004100	0.00	0.00	0.00	0.00	0.00	0.00
transcript375	HORVU.RGT_PLANET.PROJ.1HG00004110	0.00	0.00	0.00	0.00	0.00	0.00
transcript377	HORVU.RGT_PLANET.PROJ.1HG00004120	0.00	0.00	0.00	0.00	0.00	0.00
transcript378	HORVU.RGT_PLANET.PROJ.1HG00004130	0.00	0.00	0.00	12.00	36.00	16.00
transcript383	HORVU.RGT_PLANET.PROJ.1HG00004190	0.00	0.00	0.00	0.00	0.00	1.00
transcript388	HORVU.RGT_PLANET.PROJ.1HG00004220	2.00	0.00	0.00	0.00	0.00	0.00
transcript389	HORVU.RGT_PLANET.PROJ.1HG00004230	0.00	0.00	0.00	0.00	0.00	0.00
transcript393	HORVU.RGT_PLANET.PROJ.1HG00004260	0.00	0.00	0.00	0.00	0.00	0.00
transcript394	HORVU.RGT_PLANET.PROJ.1HG00004280	0.00	0.00	0.00	0.00	0.00	0.00
transcript395	HORVU.RGT_PLANET.PROJ.1HG00004290	0.00	3.56	2.10	0.96	1.25	0.00
transcript396	HORVU.RGT_PLANET.PROJ.1HG00004310	0.00	0.00	0.00	0.00	0.00	0.00
transcript399	HORVU.RGT_PLANET.PROJ.1HG00004360	2.00	0.00	0.00	0.00	0.00	0.00
transcript402	HORVU.RGT_PLANET.PROJ.1HG00004420	0.00	0.00	0.00	0.00	0.00	0.00
transcript403	HORVU.RGT_PLANET.PROJ.1HG00004450	0.00	0.00	0.00	0.00	0.00	0.00
transcript406	HORVU.RGT_PLANET.PROJ.1HG00004480	3.00	1.00	0.00	0.00	1.00	1.00
transcript407	HORVU.RGT_PLANET.PROJ.1HG00004490	0.00	0.00	0.00	0.00	0.00	0.00
transcript408	HORVU.RGT_PLANET.PROJ.1HG00004500	0.00	0.00	0.00	0.00	0.00	0.00
transcript409	HORVU.RGT_PLANET.PROJ.1HG00004510	22.00	6.00	16.00	21.00	22.00	26.00
transcript411	HORVU.RGT_PLANET.PROJ.1HG00004530	0.00	0.00	0.00	0.00	0.00	0.00
transcript412	HORVU.RGT_PLANET.PROJ.1HG00004540	0.00	0.00	0.00	0.00	0.00	0.00
transcript416	HORVU.RGT_PLANET.PROJ.1HG00004560	0.00	0.00	0.00	0.00	0.00	0.00
transcript418	HORVU.RGT_PLANET.PROJ.1HG00004580	0.00	0.00	0.00	0.00	0.00	0.00
transcript419	HORVU.RGT_PLANET.PROJ.1HG00004590	0.00	0.00	0.00	0.00	0.00	0.00
transcript422	HORVU.RGT_PLANET.PROJ.1HG00004610	0.00	0.00	0.00	0.00	0.00	0.00
transcript423	HORVU.RGT_PLANET.PROJ.1HG00004620	0.00	0.00	0.00	0.00	0.00	0.00
transcript426	HORVU.RGT_PLANET.PROJ.1HG00004660	0.00	0.00	0.00	0.00	0.00	0.00
transcript428	HORVU.RGT_PLANET.PROJ.1HG00004670	0.00	0.00	0.00	0.00	0.00	0.00
transcript429	HORVU.RGT_PLANET.PROJ.1HG00004690	0.00	0.00	0.00	0.00	0.00	1.00
transcript430	HORVU.RGT_PLANET.PROJ.1HG00004700	0.00	0.00	0.00	0.00	0.00	0.00
transcript431	HORVU.RGT_PLANET.PROJ.1HG00004720	6.00	2.00	10.00	14.00	12.00	13.00
transcript434	HORVU.RGT_PLANET.PROJ.1HG00004740	0.00	0.00	0.00	0.00	0.00	0.00
transcript435	HORVU.RGT_PLANET.PROJ.1HG00004750	0.00	0.00	0.00	1.00	0.00	0.00
transcript436	HORVU.RGT_PLANET.PROJ.1HG00004760	0.00	0.00	0.00	0.00	0.00	0.00
transcript437	HORVU.RGT_PLANET.PROJ.1HG00004770	0.00	0.00	0.00	0.00	0.00	0.00
transcript438	HORVU.RGT_PLANET.PROJ.1HG00004790	0.00	0.00	0.00	0.00	0.00	0.00
transcript439	HORVU.RGT_PLANET.PROJ.1HG00004800	0.00	0.00	0.00	0.00	0.00	0.00
transcript440	HORVU.RGT_PLANET.PROJ.1HG00004810	0.00	0.00	0.00	0.00	0.00	0.00
transcript441	HORVU.RGT_PLANET.PROJ.1HG00004830	0.00	0.00	0.00	0.00	0.00	0.00
transcript443	HORVU.RGT_PLANET.PROJ.1HG00004840	0.00	1.00	0.00	0.00	0.00	0.00
transcript445	HORVU.RGT_PLANET.PROJ.1HG00004870	0.00	0.00	0.00	0.00	0.00	0.00
transcript446	HORVU.RGT_PLANET.PROJ.1HG00004880	0.00	0.00	0.00	0.00	0.00	0.00
transcript447	HORVU.RGT_PLANET.PROJ.1HG00004890	5.00	0.00	0.00	0.00	2.00	0.00
transcript448	HORVU.RGT_PLANET.PROJ.1HG00004910	0.00	0.00	0.00	0.00	0.00	0.00
transcript449	HORVU.RGT_PLANET.PROJ.1HG00004920	0.00	0.00	0.00	0.00	0.00	0.00
transcript450	HORVU.RGT_PLANET.PROJ.1HG00004930	162.00	84.00	177.00	104.00	82.00	82.00
transcript451	HORVU.RGT_PLANET.PROJ.1HG00004940	0.00	0.00	0.00	0.00	0.00	0.00
transcript454	HORVU.RGT_PLANET.PROJ.1HG00004960	0.00	0.00	0.00	0.00	0.00	0.00
transcript455	HORVU.RGT_PLANET.PROJ.1HG00004970	0.00	0.00	0.00	0.00	0.00	0.00
transcript456	HORVU.RGT_PLANET.PROJ.1HG00004980	0.00	0.00	0.00	0.00	0.00	0.00
transcript457	HORVU.RGT_PLANET.PROJ.1HG00004990	0.00	0.00	0.00	0.00	0.00	0.00
transcript464	HORVU.RGT_PLANET.PROJ.1HG00005070	0.00	0.00	0.00	0.00	0.00	0.00
transcript467	HORVU.RGT_PLANET.PROJ.1HG00005100	0.00	0.00	0.00	0.00	0.00	0.00
transcript468	HORVU.RGT_PLANET.PROJ.1HG00005110	0.00	0.00	0.00	0.00	0.00	0.00
transcript470	HORVU.RGT_PLANET.PROJ.1HG00005120	0.00	0.00	0.00	0.00	0.00	0.00
transcript471	HORVU.RGT_PLANET.PROJ.1HG00005130	0.00	0.00	0.00	0.00	0.00	0.00
transcript472	HORVU.RGT_PLANET.PROJ.1HG00005140	0.00	0.00	0.00	0.00	0.00	0.00
transcript473	HORVU.RGT_PLANET.PROJ.1HG00005150	0.00	0.00	0.00	0.00	0.00	0.00
transcript482	HORVU.RGT_PLANET.PROJ.1HG00005260	0.00	0.00	0.00	0.00	0.00	0.00
transcript483	HORVU.RGT_PLANET.PROJ.1HG00005270	0.00	0.00	0.00	0.00	0.00	0.00
transcript484	HORVU.RGT_PLANET.PROJ.1HG00005280	2.00	0.00	0.00	0.00	0.00	0.00
transcript485	HORVU.RGT_PLANET.PROJ.1HG00005300	0.00	0.00	0.00	0.00	0.00	0.00
transcript491	HORVU.RGT_PLANET.PROJ.1HG00005380	0.00	0.00	0.00	0.00	0.00	0.00
transcript494	HORVU.RGT_PLANET.PROJ.1HG00005400	0.00	0.00	0.00	0.00	0.00	0.00
transcript497	HORVU.RGT_PLANET.PROJ.1HG00005420	0.00	0.00	0.00	0.00	0.00	0.00
transcript498	HORVU.RGT_PLANET.PROJ.1HG00005440	0.00	0.00	0.00	0.00	0.00	0.00
transcript501	HORVU.RGT_PLANET.PROJ.1HG00005470	0.00	0.00	0.00	0.00	0.00	0.00
transcript502	HORVU.RGT_PLANET.PROJ.1HG00005490	0.00	0.00	0.00	0.00	0.00	0.00
transcript503	HORVU.RGT_PLANET.PROJ.1HG00005500	0.00	0.00	0.00	0.00	0.00	0.00
transcript505	HORVU.RGT_PLANET.PROJ.1HG00005510	0.00	0.00	0.00	0.00	0.00	0.00
transcript506	HORVU.RGT_PLANET.PROJ.1HG00005530	0.00	0.00	0.00	0.00	0.00	0.00
transcript507	HORVU.RGT_PLANET.PROJ.1HG00005540	0.00	0.00	0.00	0.00	0.00	0.00
transcript509	HORVU.RGT_PLANET.PROJ.1HG00005550	0.00	0.00	0.00	0.00	0.00	0.00
transcript510	HORVU.RGT_PLANET.PROJ.1HG00005560	0.00	0.00	0.00	0.00	0.00	0.00
